,id,sentence1,sentence2,label,pred,TP,FP,TN,FN
233,234,"Ntarabana is a town and sector in the Rulindo district of Northern Province , Rwanda .","Ntarabana is a city and sector in the northern province of Rulindo district , Rwanda .",0,0,0,0,1,0
234,235,"On 1 December , Tinnish announced that he had withdrawn from his position with Atlanta and would remain with Toronto .","On December 1 , Tinnish announced he had withdrawn from his position with Atlanta and would remain with Toronto .",1,1,1,0,0,0
235,236,"He was fellow of the Royal Colonial Institute , the Royal Statistical Society and the Royal Geographic Society ( RGS ) .","He was a fellow of the Royal Colonial Institute , the Royal Geographic Society , and the Royal Statistical Society ( RGS ) .",0,0,0,0,1,0
236,237,"From 1957 to 1971 , the ER2 was built in Port Elizabeth , and in 1966 Birmingham changed to the three series .","From 1957 to 1971 , the ER2 was built in Birmingham , and in 1966 Port Elizabeth changed to the three series .",0,0,0,0,1,0
237,238,"Twin Falls is a part of Jerome County , ID Micropolitan Statistical Area .","Jerome County is part of the Twin Falls , ID Micropolitan Statistical Area .",0,0,0,0,1,0
238,239,"On 6 March 2016 , he debuted in the Ukrainian Premier League for FC Metalist Kharkiv in a game against FC Volyn Lutsk .",He made his debut in the Ukrainian Premier League for FC Metalist Kharkiv in a game against FC Volyn Lutsk on 6 March 2016 .,1,0,0,0,0,1
239,240,"The majority of the inhabitants of Babulo officially follow the Catholic religion , as in entire East Timor .","The majority of the inhabitants of Babulo follow officially the entire religion , as in Catholic East - Timor .",0,0,0,0,1,0
240,241,"Sadar Bazar Railway Station is a small railway station in North - Delhi , which is a residential and commercial area of Delhi district Sadar Bazar .",Sadar Bazar railway station is a small railway station in North Delhi which is a residential and commercial neighbourhood of the Delhi district of Sadar Bazar .,1,0,0,0,0,1
241,242,The man tells Natasha how he had been given custody of little Matt Murdock by a woman just before her death during the Battle of Stalingrad in autumn 1942 .,The man tells Natasha how he had been given custody of the little Matt Murdock by a woman shortly before her death during the Battle of Stalingrad in the autumn of 1942 .,1,0,0,0,0,1
242,243,"Several members of the CFA were appointed to the McMillan Commission , as were many McMillan Plan supporters .","Several members of the CFA were appointed to the McMillan Commission , as were many supporters of the McMillan plan .",1,0,0,0,0,1
243,244,"It was credited to Lennon - McCartney , but John Lennon often stated that he wrote it .","It was credited to Lennon -- McCartney , but John Lennon often stated that he wrote it .",1,0,0,0,0,1
244,245,"Hannah Willard married Simon Willard on November 29 , 1776 .",Hannah Willard married Simon Willard on 29 November 1776 .,1,0,0,0,0,1
246,247,"Eupithecia mandschurica is a moth in the Geometridae family , which is found in Japan ( Amur ) and Russia .",Eupithecia mandschurica is a moth in the family Geometridae . It is found in Russia ( Amur ) and Japan .,0,0,0,0,1,0
247,248,Three Iranian representatives in the negotiations with the Kurdish leaders returned freely to Iran .,The three Kurdish officials in the negotiations with the Iranian leaders returned freely to Iran .,0,0,0,0,1,0
248,249,Authors can post documents on their institutional websites and in their own repositories with a link back to the permanently maintained version of Record of the ACM Digital Library .,Authors can publish documents on their own websites and in their institutional repositories with a link back to the permanently maintained version of ACM Digital Library Record .,0,0,0,0,1,0
250,251,"It was originally called Riversfield , but named after Don Hill , a former club chairman .","It was originally renamed Riversfield but named after Don Hill , a former club chairman .",0,1,0,1,0,0
251,252,The 2014 -- 15 Chicago State Cougars men 's basketball team represented Chicago State University during the 2014 -- 15 NCAA Division I men 's basketball season .,The 2014 -- 15 Chicago State Cougars Men 's Basketball - Team represented Chicago State University during the 2014 -- 15 NCAA Division I Men Basketball - Season .,1,0,0,0,0,1
252,253,Vikram discovers how Sugni had fallen : she was saved from the river she was rescued into by some local fishermen .,Vikram discovers how Sugni had fallen : she was rescued by some local fishermen from the river into which she was bailed out .,1,0,0,0,0,1
253,254,"For example , the following two definitions are safe for an equivalent division for values in maybe - monad .","For example , both following definitions for equivalent division for values in the Maybe monad are safe .",1,1,1,0,0,0
254,255,"In 1947 , the West Punjab of British India was partitioned along religious lines into Punjab Province and East Punjab .",In 1947 the province of Punjab was divided into British - India along religious lines in West - Punjab and East - Punjab .,0,0,0,0,1,0
255,256,"The province with the lowest crime rate in 2006 for the third straight year was Quebec with 5,689 per 100,000 , followed by Ontario with 5,909 per 100,000 .","The province with the lowest crime rate in 2006 for the third consecutive year was Quebec with 5,689 per 100,000 inhabitants , followed by Ontario with 5,909 per 100,000 .",1,1,1,0,0,0
257,258,"He appeared as General Tao in the Amazon - Show `` The Man at the High Castle '' , and as Onoda in AMC `` Hell On Wheels '' .","He appeared as General Onoda in the Amazon show `` The Man In The High Castle '' , and as Tao on AMC 's `` Hell On Wheels '' .",0,0,0,0,1,0
258,259,In 2010 the Bon Preu Group acquired the Spanish stores of the French group Intermarché .,"In 2010 , the Bon Preu Group acquired the French branches of the Spanish Intermarché group .",0,0,0,0,1,0
261,262,"Most individualistic anarchists supported anarcho-syndicalism and communist anarchism , while a few Jewish anarchists were .","Most Jewish anarchists supported anarchosyndicalism and communist anarchism , while a few individualist anarchists were .",0,0,0,0,1,0
262,263,"They were replaced by Martin Foyle , but he disappeared after only one month , and Paul Simpson took over until the end of the season .","They were replaced by Paul Simpson , but he went after only a month , and Martin Foyle took over until the end of the season .",0,0,0,0,1,0
263,264,"At the club level , Europe has not developed as a technical game and is aware of money and Latin America .","At club level , Europe has not developed as a technical game and aware of the money and in Latin America .",1,0,0,0,0,1
264,265,"Ram Shahristan ( or Abrashariyar ) was the ancient capital of Sistan , now southwestern Afghanistan and southeastern Iran .","Ram Shahristan ( or Abrashariyar ) was the ancient capital of Sistan , in what is now southeastern Afghanistan and southwestern Iran .",0,1,0,1,0,0
265,266,It was directed by Winrich Kolbe and was written by Jack B. Sowards .,It was directed by Jack B. Sowards and was written by Winrich Kolbe .,0,1,0,1,0,0
266,267,"A magical square is in Frénicle standard form , named for Bernard Frénicle de Bessy , if the following two conditions apply :","A magic square is in Frénicle standard form , named for Bernard Frénicle de Bessy , if the following two conditions apply :",1,1,1,0,0,0
267,268,"The death of Mao Zedong in 1976 , however , brought about economic reform in the PRC , which led to the expected Chinese investment in the Japanese economy .","However , the death of Mao Zedong in 1976 brought economic reform to the PRC , which led to the expected Japanese investment in the Chinese economy .",0,1,0,1,0,0
268,269,"Meanwhile , Ben begins to connect with Norman and they become close friends after a sleepover .","Meanwhile , Ben starts to connect with Norman and they become close friends after a sleepover .",1,0,0,0,0,1
271,272,"Thapaswini is a 1971 Indian Malayalam film , addressed by M. Krishnan Nair and produced by PIM Kasim .","Thapaswini is a 1971 Indian Malayalam film , produced by M. Krishnan Nair and directed by PIM Kasim .",0,1,0,1,0,0
272,273,He graduated from Phi Beta Kappa magna cum laude and was elected to Harvard Law School .,He graduated from the Harvard Law School Magna cum Laude and was elected in Phi Beta Kappa .,0,0,0,0,1,0
273,274,"On Remembrance Day 1930 , ANZAC Square in the Brisbane CBD was officially opened and the services at Toowong Cemetery were transferred to ANZAC Square .","On Memorial Day 1930 , the Toowong Cemetery was officially opened in the Brisbane CBD and the services at ANZAC Square were transferred to ANZAC Square .",0,0,0,0,1,0
275,276,The two controls above are boolean : they are either active or non-existent .,The above two controls are active : they are either boolean or not .,0,1,0,1,0,0
276,277,The series was written by Fiona Cumming and John Prowse with episodes by Avril Rowlands .,The series was written by Avril Rowlands with episodes directed by Fiona Cumming and John Prowse .,0,1,0,1,0,0
277,278,An independent analysis postulates that alternative standard - vowels in standard - Polish no longer exists as nasal phonemes .,An alternative analysis posits that nasal vowels in standard Polish no longer exist as independent phonemes .,0,0,0,0,1,0
278,279,"However , during the English Civil War it was demolished by the Parliament and held in 1646 - 50 .","However , it was held by Parliament during the English Civil War and demolished in 1646 -- 50 .",0,0,0,0,1,0
279,280,"Hughes , born in Wales , founded two separate congregations in the city , preaching English sermons to one , and Welsh sermons to the other , every Sunday .","Hughes , born in Wales , founded two separate communities in the city and every Sunday preaching English sermons to one and Welsh sermons to the other .",1,0,0,0,0,1
280,281,Zodac was expressed in the 1983 series by Lou Scheimer and Christopher Judge in the 2002 series .,Zodac was voiced by Lou Scheimer in the 1983 series and by Christopher Judge in the 2002 series .,1,1,1,0,0,0
282,283,"Ruffell was employed as an engineer in Southampton and died on October 3 , 1940 , on his 73rd birthday in the Southampton Docks .","Ruffell was employed as an engineer in Southampton . He died in Southampton Docks on his 73rd birthday , 3 October 1940 .",1,0,0,0,0,1
283,284,"Although Ned Hanlon had hoped to be selected as the successor to John Ganzel after the 1907 season as Cincinnati manager , the reds went with Huggins instead .","Although Ned Hanlon hoped to be selected as John Ganzel 's successor as Cincinnati 's manager after the 1907 season , the Reds instead went with Huggins .",1,0,0,0,0,1
284,285,"It is 3 km northwest of the river Alfeios , 8 km southwest of Dimitsana , 10 km northeast of Andritsaina and 12 km northeast of Karytaina .","It is situated 3 km northwest of the river Alfeios , 8 km southwest of Dimitsana , 10 km northeast of Andritsaina and 12 km northeast of Karytaina .",1,1,1,0,0,0
285,286,"Nowadays , masking tapes are used for various purposes : they are printed with decorative patterns , some Japanese tapes are made of washi paper .","Nowadays , masking tapes are frequently used for decorative purposes : they are printed with different patterns , some Japanese tapes are made of washi paper .",0,0,0,0,1,0
286,287,"The Australian PBYs were transferred to Ceylon , and the surviving Dorniers were sold to the Australian government .","The PBYs in Ceylon were sold to Australia , and the surviving Dorniers were transferred to the Australian government .",0,0,0,0,1,0
287,288,"It was named after Malaysia 's third prime minister , Tun Hussein Onn .","It was named after third Malaysia 's former Prime Minister , Tun Hussein Onn .",0,1,0,1,0,0
288,289,"On December 14 , 2009 , Elkhorn City became a part of Cedarville .","On 14 December 2009 , Cedarville became part of the Elkhorn City .",0,0,0,0,1,0
292,293,"Thameside is a railroad franchise for the provision of passenger services on London , Tilbury and Southend Railway in the east of London and South - Essex .","Essex Thameside is a railway franchise for the provision of passenger services on the London , Tilbury and Southend Railway in south Essex and east London .",1,0,0,0,0,1
293,294,Charles Gordon 's son was the soldier and MP Colonel John Gordon ( c.1776 -- 1858 ) .,John Gordon 's son was the soldier and deputy Colonel Charles Gordon ( c.1776 -- 1858 ) .,0,0,0,0,1,0
294,295,"Both Mark Browne and younger brother Ricky debuted for Geelong in the opening round of the 1974 VFL season , against Footscray at Western Oval .",Both Ricky and younger brother Mark Browne debuted for Geelong in the opening round of the VFL season in 1974 against Footscray at Western Oval .,0,0,0,0,1,0
296,297,"Born in 1841 in Marion County , Tennessee , Gardenhire moved to Lawrence County , Arkansas with his family when he was 10 .","Born in 1841 in Marion County , Tennessee , Gardenhire and his family moved to Lawrence County , Arkansas , when he was 10 years old .",1,0,0,0,0,1
297,298,"The order , founded in Nashville , Tennessee , has its headquarters in Northlake , Illinois today .","The order , founded in Northlake , Illinois , has its headquarters in Nashville , Tennessee today .",0,1,0,1,0,0
298,299,"Some reports claim `` 30 years or more '' , while others assert `` 50 years or more '' .","Some reports claim `` 30 years or more '' , while others state `` 50 years or more '' .",1,0,0,0,0,1
299,300,"Meanwhile , the Vichy regime has promoted a highly traditional model of female roles .","Meanwhile , the Vichy regime promoted a highly traditional model of female roles .",1,0,0,0,0,1
300,301,Many miners joined the rushes to Charters Towers ( 1872 ) and the Palmer River ( 1873 ) .,Many miners connected the rushes to Charters Towers ( 1872 ) and the Palmer River ( 1873 ) .,1,0,0,0,0,1
301,302,The music of the film was composed by K. Kalyan and lyrics written by V. Manohar .,The music of the film was composed by V. Manohar and texts by K. Kalyan were written .,0,1,0,1,0,0
303,304,The party banner of a swastika was designed by Hitler in a white circle on a red background .,Hitler designed the party 's banner of a swastika in a red circle on a white background .,0,0,0,0,1,0
307,308,"Sogndal Fotball is the association of the Norwegian sports club Sogndal IL from Sogndal in Sogn og Fjordane , which was founded in 1926 .","Sogndal Fotball is the association of football clubs of the Norwegian sports club Sogndal IL from Sogn og Fjordane in Sogndal , which was founded in 1926 .",0,1,0,1,0,0
308,309,The 1992 NFL season was the 73rd National Football League regular season .,The 1992 NFL season was the 73rd regular season of the National Football League .,1,0,0,0,0,1
309,310,"In the 1980s he was teacher of Victor Moreno ( Victor Miquel Moreno Piñeiro ) , Cousin of Servando Cabrera Moreno .","In the 1980s , he was the teacher of Victor Moreno ( Victor Miquel Moreno Piñeiro ) , cousin of Servando Cabrera Moreno .",1,0,0,0,0,1
310,311,This species is distributed in the Indian Ocean along South Africa and in the Pacific Ocean along Hawaii and Tahiti .,This species is spread along Hawaii and the Indian Ocean along South Africa and Tahiti in the Pacific Ocean .,0,1,0,1,0,0
312,313,"Romuald , however , destroyed part of the Roman army at Forino , between Avellino and Salerno , and destroyed it .","However , Romuald destroyed part of the Roman army at Forino , between Avellino and Salerno , and intercepted it .",0,0,0,0,1,0
313,314,"The Potez X was a French colonial transport aircraft of the 1920s , designed and built by Potez .",The Potez X was a French 1920s general-purpose colonial transport aircraft designed and built by Potez .,0,0,0,0,1,0
314,315,The strong influence of redfigurine attic vase painting has convinced some experts that the artist who decorated the tomb was a Greek Metic .,The strong influence of the attic - Greek vase painting has convinced some experts that the artist who decorated the tomb was a red metic .,0,0,0,0,1,0
315,316,"While Gordy continued to be used as a background singer , John dissolved her contract in 1962 .","While Gordy continued to be used as a background singer , John triggered her contract in 1962 .",0,1,0,1,0,0
316,317,"Hay was the oldest son of George Hay , 8th Earl of Kinnoull , and Abigail , daughter of Robert Harley , 1st Earl of Oxford and Earl Mortimer .","Hay was the eldest son of George Hay , 8th Earl of Kinnoull , and Abigail , daughter of Robert Harley , 1st Earl of Oxford and Earl Mortimer .",1,1,1,0,0,0
317,318,"Then he asked his assistant Gunpei Yokoi about the possibility of shooting their current product , the `` OptoElectronic Gun SP '' , for simulations .","He then asked his assistant Gunpei Yokoi about the possibility of shooting their current product , the `` Opto-Electronic Gun SP '' , for using simulations .",1,0,0,0,0,1
318,319,"He made 11 war patrols , completed 12 attacks , sunk 2 enemy transports and a lighter .","He completed 11 war patrols , made 12 attacks , sunk 2 enemy transports and a lighter .",0,0,0,0,1,0
319,320,"Jean Antoine retired in 1653 , and was succeeded in the family business by his sons Jean de Tournes and Samuel de Tournes .",Jean Antoine was retired in 1653 and was taken over by his sons Jean de Tournes and Samuel de Tournes in the family business .,1,0,0,0,0,1
320,321,"For his career , Webb had 5,771 Yards and 2,774 passing farms for a total of 8,545 offensive yards .","For his career , Webb had 5,771 rushing yards and 2,774 passing yards for a total of 8,545 offensive yards .",1,0,0,0,0,1
321,322,"The majority of the inhabitants of Babulo officially follow the entire religion , as in Catholic East Timor .","The majority of the inhabitants of Babulo follow officially the entire religion , as in Catholic East - Timor .",1,0,0,0,0,1
322,323,"The album contains 16 tracks recorded during two May 2002 performances , one in Chicago , Illinois , and the other in Memphis , Tennessee .","The album contains 16 tracks , recorded during two performances in May 2002 , one in Chicago , Illinois , and the other in Memphis , Tennessee .",1,1,1,0,0,0
323,324,"He stayed in Wales after 1815 , when his wife died , but with his health declining he returned to live in London in 1825 .","He remained in London after 1815 , when his wife died , but with his health decline he returned in 1825 to live in Wales .",0,0,0,0,1,0
324,325,William Duell was played by McNair in the play and film `` 1776 '' .,William Duell was played in the play and movie `` 1776 '' by McNair .,1,1,1,0,0,0
325,326,"The granddaughter of a publisher , Boyle was born in St. Paul , Minnesota and grew in several cities , but mainly in Cincinnati , Ohio .","The granddaughter of a publisher , Boyle was born in St. Paul , Minnesota , and grew up in several cities but principally in Cincinnati , Ohio .",1,1,1,0,0,0
326,327,"In January 1131 , he was captured and executed in a forest near Ringsted in Zealand .","In January 1131 he was trapped in a forest near Zealand in Ringsted , and executed .",0,0,0,0,1,0
327,328,"Born 1841 in Lawrence County , Arkansas , Gardenhire moved with his family to Marion County , Tennessee , when he was 10 years old .","Born in 1841 in Lawrence County , Arkansas , Gardenhire moved to Marion County , Tennessee with his family when he was 10 .",1,0,0,0,0,1
329,330,"Norman Bailey retained his place for the following game , but the captain moved to Hunter .","For the following game , Hunter retained his place but the captaincy moved to Norman Bailey .",0,0,0,0,1,0
330,331,The 1992 National Football League season was the 73rd regular season of the NFL .,The 1992 NFL season was the 73rd regular National Football League season .,1,0,0,0,0,1
331,332,The first effective air pump built for scientific purposes in England was manufactured by Robert Hooke for Robert Boyle in 1658 .,The first effective air pump constructed in England for scientific purposes was made in 1658 by Robert Boyle for Robert Hooke .,0,0,0,0,1,0
332,333,The episode was written by Matt Warburton and is directed by Adam Davidson .,The episode was written by Adam Davidson and directed by Matt Warburton .,0,0,0,0,1,0
333,334,"An alternative , more compact syntax is also provided , where DFDL properties are carried as non-native attributes on the XML Schema objects themselves .","An alternative , more compact syntax is also provided where DFDL properties are transferred as non-native attributes in the XML schema objects themselves .",1,0,0,0,0,1
334,335,"If all are zero , then this is the quantum - Liouville - equation ( for a closed system ) , which is the quantum analogue of the classic Liouville equation .","If the are all zero , then this is quantum Liouville equation ( for a closed system ) , which is the quantum analog of the classical Liouville equation .",1,0,0,0,0,1
335,336,It has been estimated that Japan has a potential of 144 GW for offshore wind and 608 GW from onshore wind capacity .,It is estimated that Japan has the potential for 144 GW of onshore wind and 608 GW for offshore wind capacity .,0,0,0,0,1,0
336,337,Yalıköy is a village connected to the district of Giresun in the province Tirebolu .,Yalıköy is a village connected to the Giresun district of Tirebolu province .,1,0,0,0,0,1
337,338,The Luhei River is a tributary of the Vişeu River in Romania .,The Luhei River is a tributary of the River Vişeu in Romania .,1,0,0,0,0,1
338,339,"It was first released in North America on February 26 , 1991 and later released in Japan in September 1991 .","It was first published in North America on February 26 , 1991 and later released in Japan in September 1991 .",1,0,0,0,0,1
339,340,He dated Jacqueline Bouvier ( who later was to marry John F. Kennedy and become First Lady of the United States .,He dated John F. Kennedy ( who later became Jacqueline Bouvier to marry and become a First Lady of the United States ) .,0,0,0,0,1,0
340,341,"Smith returned to the WWF at SummerSlam in 1994 , where he immediately became involved in an ongoing family feud between Bret Hart and his brother , Owen Hart .","In 1994 , Bret Hart returned to the WWF at SummerSlam , where he was immediately involved in an enduring family feud between Smith and his brother Owen Hart .",0,0,0,0,1,0
341,342,"Jerome County is part of the Twin Falls , ID Micropolitan Statistical Area .","Jerome County is a part of the Twin Falls , ID Micropolitan Statistical Area .",1,0,0,0,0,1
342,343,"Ghimniye is a village in the Talasari district of Maharashtra , India . It is located in Palghar taluka .","Ghimniye is a village in Palghar - district of Maharashtra , India . It is located in Talasari Taluka .",0,1,0,1,0,0
343,344,"Four bells were consecrated between 1777 and 1860 , and in 1861 three new bells were mentioned .",Four bells were mentioned between 1777 and 1860 and in 1861 three new ones were inaugurated .,0,0,0,0,1,0
344,345,"Later in 2014 , Dassault Systèmes was bought by Quintiq .",Dassault Systèmes was bought by Quintiq in 2014 .,1,1,1,0,0,0
345,346,He was the son of Emma Jane Dennis and George Bentley .,He was the son of Emma Jane Dennis and of George Bentley .,1,1,1,0,0,0
346,347,This is a list of international sporting events in the Greater Manila Area in the Philippines :,This is a list of international sporting events in the Greater Manila Area in the Philippines :,0,1,0,1,0,0
347,348,The Thai ambassador to Bangkok is the official representative of the government in Yangon to the government in Myanmar .,The Thai Ambassador in Yangon is the official representative of the Government in Bangkok to the Government of Myanmar .,0,0,0,0,1,0
348,349,"After the 1971 season , Collins was traded by the Tigers to the Cleveland Indians in exchange for Ed Farmer , together with Tom Timmermann .","After the 1971 season , Ed Farmer was traded by the Tigers along with Tom Timmermann to the Cleveland Indians in exchange for Collins .",0,0,0,0,1,0
349,350,He died in 1909 in Calgary and was buried in Montreal .,In 1909 he died in Montreal and was buried in Calgary .,0,0,0,0,1,0
350,351,"43.0 % were German , 10.8 % Norwegian , 8.3 % Irish , 7.4 % of Finnish and 5.9 % Swedish descent according to the 2000 census .","43.0 % were of German , 10.8 % Norwegian , 8.3 % Swedish , 7.4 % Irish and 5.9 % Finnish ancestry according to Census 2000 .",0,0,0,0,1,0
351,352,"In the following weeks on `` Raw '' , Kane began repeatedly assaulting Hardy and attempting to seduce Lita .",In the following weeks on `` Raw '' Hardy began to attack Lita repeatedly and seduce Kane .,0,0,0,0,1,0
353,354,"Of these eighteen states four of them IN , PA , OH , and MD have listed `` G. villosa '' as an endangered species .","Of these 18 states , four of them have listed IN , PA , OH and MD `` G. villosa '' as endangered species .",1,0,0,0,0,1
354,355,Henri Dobler was born in 1863 in Marseille . His parents sold silk and textiles in Switzerland .,"Henri Dobler was born in Marseille in 1863 , and his parents sold silk and textiles in Switzerland .",1,0,0,0,0,1
355,356,"On December 1 , Tinnish announced he had withdrawn from his position with Atlanta and would remain with Toronto .","On December 1 , Tinnish announced that he had withdrawn from his position with Atlanta and would remain with Toronto .",1,1,1,0,0,0
357,358,"The 1895 , as well as the later model in 1899 and the early model 99 , used a turning magazine to hold the cartridges .","The 1895 , as well as the early Model 1899 and later Model 99 , used a rotary magazine to hold the cartridges .",0,0,,,,
358,359,"Richardson married author Anne Roth ( now Anne Roiphe ) in 1957 , and they had a daughter Emily Carter .","Anne Roiphe married the writer Anne Roth ( now Richardson ) in 1957 , and they had a daughter Emily Carter .",0,0,,,,
360,361,"In the following weeks on `` Raw '' , Hardy began repeatedly assaulting Lita and attempting to seduce Kane .",In the following weeks on `` Raw '' Hardy began to attack Lita repeatedly and seduce Kane .,1,0,,,,
361,362,The film was produced by Stuart Legg and managed by John Taylor .,The film was produced by Stuart Legg and directed by John Taylor .,1,1,,,,
362,363,"However , Romuald intercepted part of the Roman army at Forino , between Avellino and Salerno , and destroyed it .","Romuald , however , destroyed and destroyed part of the Roman army at Forino , between Avellino and Salerno .",0,0,,,,
363,364,The altar frieze is the work of sculptor Elmar Hillebrand and his student Ronald Hughes .,The altar frieze is the work of the sculptor Ronald Hughes and his student Elmar Hillebrand .,0,1,,,,
364,365,It was founded in a group of huts built in the 1870s by local farmer Jahu Reed for the Irish workers he employed in his orchards .,It originated in a group of cabins built by local farmer Jahu Reed in the 1870s for the Irish workers he employed in his orchards .,1,1,,,,
366,367,"The granddaughter of a publisher , Boyle was born in St. Paul , Minnesota , and grew up in several cities but principally in Cincinnati , Ohio .","The granddaughter of a publisher , Boyle was born in Cincinnati , Ohio , and grew up in several cities , but mostly in St. Paul , Minnesota .",0,0,,,,
367,368,"Warwick Brown ( born in Sydney , 24 December 1949 ) is a former racing driver from Australia .","Warwick Brown ( born December 24 , 1949 in Australia ) is a former racing driver in Sydney .",0,1,,,,
369,370,Vivek Ranadive brought a group together led by Kevin Johnson to keep the team in Sacramento .,Vivek Ranadive brought together a group led by Kevin Johnson to hold the team in Sacramento .,1,1,,,,
370,371,"Tangerine Confectionery has factories in Blackpool , Cleckheaton , York , Pontefract and Liverpool .","Tangerine Confectionery factories in Blackpool , Cleckheaton , York , Pontefract and Liverpool .",1,0,,,,
371,372,"The episode was written by Kirker Butler , and directed by Ron Rubio .",The episode was directed by Ron Rubio and wrote by Kirker Butler .,1,0,,,,
372,373,"Hudson was born in Houston . He attended Worthing High School in Houston , Texas , and played high school football for the Worthing Colts .","Hudson was born in Houston , attended the Worthing High School in Houston , Texas and played high school football for the Worthing Colts .",1,0,,,,
374,375,She was born in Dorchester in 1740 when John Fulton married Bradlee in 1762 and moved to Medford .,"She was born in 1740 as John Fulton in Dorchester , married Sarah Bradlee in 1762 and moved to Medford .",1,0,,,,
375,376,"Following this rebellion , however , Major Noel tried , unsuccessfully , to bring together Simko and other Kurdish nationalist leaders , including Shaykh Mahmud .","Following this uprising , Major Noel tried unsuccessfully to bring Shaykh Mahmud and other Kurdish nationalist leaders , including Simko , together .",0,1,,,,
376,377,Shrewsbury Township is located in the 11th Congressional District and is part of the 4th State Legislative District in New Jersey .,Shrewsbury Township is located in the 4th Congressional District and is part of the 11th State Legislative District of New Jersey .,0,1,,,,
377,378,"On November 22 , 2011 , Butler married Kelly Lee Butler , now known professionally as Kelly Lee Daniels .","Butler married Kelly Lee Butler on November 22 , 2011 , and is now professionally known as Kelly Lee Daniels .",1,0,,,,
378,379,"These players were Axel Almanza , Héctor Martinez , Hanamel , Julio Creek and Juan Maning .","These players were Juan Maning , Hanamel Hill , Julio Creek , Axel Almanza and Héctor Martinez .",1,0,,,,
379,380,"In 2002 , CRLA was awarded the Domestic Human Rights Award by Global Exchange and an international NGO located in San Francisco .","In 2002 , Global Exchange was awarded the Domestic Human Rights Award by CRLA and a San Francisco based international NGO .",0,0,,,,
380,381,"He died on 28 September 1988 in Los Angeles , California , and was buried at Hillside Memorial Park Cemetery in Culver City , California .","He died on 28 September 1988 in Culver City , California and was buried at the Hillside Memorial Park Cemetery in Los Angeles , California .",0,0,,,,
382,383,Good Time Gang has released four children 's albums as `` Gwendolyn and the Gwendolyn '' .,Gwendolyn has published four children 's albums as '' Gwendolyn and the Good Time Gang `` :,0,0,,,,
383,384,The general difference between Cech cohomology and sheaf cohomology is a motivation for the use of hypercoverings : these are more possible objects than the Cech nerve .,The general difference between Cech - Cohomology and Garben - Cohomology is a motivation for the use of hypercoverings : these are more possible objects than the cech - nerve .,1,0,,,,
385,386,"Kim Newman called it a `` smart , subversive but rather cold debut '' for `` Empire '' .","Writing for `` Empire '' , Kim Newman called it `` a smart , subversive but rather cold debut '' .",1,1,,,,
386,387,He was born in Wanganui and died in a private hospital of Dunedin .,He was born in Dunedin and died at a private Wanganui hospital .,0,0,,,,
387,388,"Band members include Chris Hale ( Lead - Vocals , Sitar ) , Peter Hicks ( Acoustics - Guitar , Sitar ) and Travis McAfee ( Bass ) .","The band members include Peter Hicks ( lead vocals , sitar ) , Chris Hale ( acoustic guitar , sitar ) and Travis McAfee ( bass ) .",0,0,,,,
388,389,"He has done meeting work for Mike Oldfield , the Muppets , Mick Jagger , Paul McCartney , Sting and Stevie Wonder .","He has done session work for Mick Jagger , Paul McCartney , The Muppets , Mike Oldfield , Sting and Stevie Wonder .",1,0,,,,
389,390,"Leverett is located along the southern border of Franklin County , north of Hampshire County .","Leverett is located along the southern border of the Hampshire County , north of Franklin County .",0,0,,,,
390,391,"Asymptotic giant star in the Auriga red giant constellation is the HD 36678 , which is currently on the northern branch of the HR diagram .",HD 36678 is asymptotic giant star in the red giant constellation of Auriga . It is currently on the northern branch of the HR diagram .,1,0,,,,
392,393,"Will and Gypsy sleep together , but he returns to Dani and supports her after being raped by Kane Phillips ( Sam Atwell ) .",Will and Dani sleep together but he returns to Gypsy and supports her after she is raped by Sam Atwell ( Kane Phillips ) .,0,0,,,,
393,394,"The area has 13 primary schools and more than thirty public secondary schools three village polytechnics , all run by the government .","The area has 13 primary schools and more than thirty public secondary schools three village Polytechnics , all led by the government .",1,0,,,,
394,395,"In February 2018 , the Utah House of Representatives passed a bill to legalize the `` right to grow '' and try medical marijuana plants for terminally ill patients .","In February 2018 , the House of Representatives of Utah passed a bill to grow the `` right to try '' and marijuana - plants for incurably ill patients .",0,0,,,,
395,396,In Spain ( Catalonia ) there are a number of festivals and traditions .,There are a number of festivals and traditions in Catalonia ( Spain ) .,1,1,,,,
397,398,Katiti Kironde 's daughter Kironde was the first African-American covergirl of a women 's magazine .,Kironde Katiti Kironde 's daughter was the first African - American covergirl of a women 's magazine .,0,0,,,,
398,399,The Potez X was a French colonial transport aircraft of the 1920s designed and built by Potez .,"The Potez X was a colonial French transport aircraft of the 1920s , designed and built by Potez .",0,1,,,,
400,401,Will and Gypsy sleep together but he returns to Dani and supports her after she is raped by Kane Phillips ( Sam Atwell ) .,"Will and Gypsy sleep together , but he returns to Dani and supports her after being raped by Kane Phillips ( Sam Atwell ) .",1,0,,,,
401,402,"Larry is later seen on the phone with Peyton , her adoptive father .","Later , Peyton is seen on the phone with Larry , her adoptive father .",0,0,,,,
402,403,"It is a yellow solid with good water solubility , but low DMF - solubility .","It is a yellow solid with a low solubility in water , but good solubility in DMF .",0,0,,,,
403,404,"Ray Bradbury was an old roommate of Ward Moore , and one of the first people to give Penney writing advice when he was a young man .",Moore was an old resident of Ray Bradbury and one of the first people to give advice to Penney when he was a young man .,0,0,,,,
